hausa,english
"Amma wanda bai sani ba, ya kuwa yi abin da ya isa horo, za a dūke shi kaɗan. Duk wanda aka ba shi mai yawa, mai yawan ne za a bida daga gare shi. Duk wanda kuma aka ba shi riƙon amana mai yawa, fiye da haka kuma za a bida daga gare shi.","but he who didn’t know, and did things worthy of stripes, will be beaten with few stripes. To whomever much is given, of him will much be required; and to whom much was entrusted, of him more will be asked."
"domin sun aikata mugunta a idanuna, suka kuma tsokane ni tun daga ranar da kakanninsu suka fito daga Masar, har yă zuwa yau.”","because they have done that which is evil in my sight, and have provoked me to anger since the day their fathers came out of Egypt, even to this day.’”"
"Abin da Allah ya faɗa game da Taya. Ku yi kuka mai zafi, ya jiragen ruwan Tarshish! Gama an hallaka Taya aka kuma bar su babu gida ko tasha. Daga ƙasar Saifurus magana ta zo musu.","The burden of Tyre. Howl, you ships of Tarshish! For it is laid waste, so that there is no house, no entering in. From the land of Kittim it is revealed to them."
"Ƙasar ta fid da tsire-tsire, da shuke-shuke masu ba da ’ya’ya bisa ga irinsu, ta fid kuma da itatuwa masu ba da ’ya’ya da iri a cikinsu bisa ga irinsu. Allah ya ga yana da kyau.","The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good."
"Sa’an nan Rut mutuniyar Mowab ta ce, “Ya ma ce mini, ‘Ki riƙa bin ma’aikatana sai sun ƙare yin girbin dukan hatsina.’ ”","Ruth the Moabitess said, “Yes, he said to me, ‘You shall stay close to my young men until they have finished all my harvest.’”"
"Da aka shigo da akwatin alkawarin Ubangiji a cikin sansani, sai Isra’ilawa suka tā da babbar murya har ƙasa ta jijjiga.","When the ark of Yahweh’s covenant came into the camp, all Israel shouted with a great shout, so that the earth resounded."
"’Ya’yan Tola maza su ne, Uzzi, Refahiya, Yeriyel, Ibsam da Sama’ila, su ne kuma kawunan iyalansu. A zamanin mulkin Dawuda, an rubuta zuriyar Tola a matsayin mayaƙa a cikin tarihinsu, sun kai 22,600.","The sons of Tola: Uzzi, Rephaiah, Jeriel, Jahmai, Ibsam, and Shemuel, heads of their fathers’ houses, of Tola; mighty men of valor in their generations. Their number in the days of David was twenty-two thousand six hundred."
"Yanzu mun san cewa in an hallaka tentin duniyan nan da muke ciki, muna da wani gini daga Allah, madawwamin gida a sama, wanda ba da hannuwan mutum ne suka gina shi ba.","For we know that if the earthly house of our tent is dissolved, we have a building from God, a house not made with hands, eternal, in the heavens."
"Sa’ad da alhini ya yi yawa a cikina, ta’aziyyarka ta kawo farin ciki wa raina.","In the multitude of my thoughts within me, your comforts delight my soul."
"Wanda aka ɗauko haya ba shi ne makiyayi mai tumakin ba. Saboda haka sa’ad da ya ga kyarkeci yana zuwa, sai yă sheƙa da gudu yă bar tumakin. Sai kyarkecin yă kai wa garken hari, yă kuma watsar da su.","He who is a hired hand, and not a shepherd, who doesn’t own the sheep, sees the wolf coming, leaves the sheep, and flees. The wolf snatches the sheep and scatters them."
firist ɗin zai fita a bakin ƙofar gidan ya rufe ta na kwana bakwai.,"then the priest shall go out of the house to the door of the house, and shut up the house seven days."
"Ya ce, “Ɗan mutum, wannan shi ne kursiyina da wurin tafin ƙafafuna. A nan ne zan zauna a cikin Isra’ilawa har abada. Gidan Isra’ila ba zai ƙara ɓata sunana mai tsarki ba, ko su ko sarakunansu, ta wurin karuwanci da gumakan da ba su da rai, sarakunansu a masujadan kan tudu.","He said to me, “Son of man, this is the place of my throne and the place of the soles of my feet, where I will dwell among the children of Israel forever. The house of Israel will no more defile my holy name, neither they nor their kings, by their prostitution and by the dead bodies of their kings in their high places;"
Ubangiji yana tare da ni; shi ne mai taimakona. Zan yi nasara a kan abokan gābana.,Yahweh is on my side among those who help me. Therefore I will look in triumph at those who hate me.
"Ubanninmu sun hore mu na ɗan lokaci yadda suka ga ya fi kyau; amma Allah yakan hore mu don amfaninmu, domin mu sami rabo cikin tsarkinsa.","For they indeed for a few days disciplined us as seemed good to them, but he for our profit, that we may be partakers of his holiness."
"Kullum suna bayar hannu sake suna kuma ba da bashi ba da wahala ba, za a yi wa ’ya’yansu albarka.","All day long he deals graciously, and lends. His offspring is blessed."
"Gama nufin Ubana shi ne, duk wanda yake duban Ɗan, ya kuma gaskata shi zai sami rai madawwami, ni kuwa zan tashe shi a rana ta ƙarshe.”","This is the will of the one who sent me, that everyone who sees the Son and believes in him should have eternal life; and I will raise him up at the last day.”"
"Sai ta shiga, ta fāɗi a ƙafafunsa ta rusuna har ƙasa. Sa’an nan ta ɗauki ɗanta ta fita.","Then she went in, fell at his feet, and bowed herself to the ground; then she picked up her son, and went out."
"Ta wurin bangaskiya Ibrahim, sa’ad da Allah ya gwada shi, sai ya miƙa Ishaku hadaya. Shi da ya karɓi alkawaran ya yi shirin miƙa makaɗaicin ɗansa,","By faith, Abraham, being tested, offered up Isaac. Yes, he who had gladly received the promises was offering up his only born son,"
"Saboda haka Isra’ilawa suka tashi a rana ta uku suke je biranen mutanen, wato, Gibeyon, Kefira, Beyerot da Kiriyat Yeyarim.","The children of Israel traveled and came to their cities on the third day. Now their cities were Gibeon, Chephirah, Beeroth, and Kiriath Jearim."
Sa’an nan ya gargaɗe almajiransa cewa kada su faɗa wa kowa shi ne Kiristi.,Then he commanded the disciples that they should tell no one that he was Jesus the Christ.
"Mutanen da suka keta alkawarina da ba su cika sharuɗan alkawarin da suka yi a gabana ba, zan yi da su kamar ɗan maraƙin da suka yanka biyu suka bi ta tsakiyarsa.","I will give the men who have transgressed my covenant, who have not performed the words of the covenant which they made before me when they cut the calf in two and passed between its parts:"
"“Sai ku yi Bikin Burodi Marar Yisti. Ku kuma ci burodi marar yisti har kwana bakwai, kamar yadda na umarce ku. Ku yi wannan a ƙayyadadden lokacinsa a watan Abib, gama a cikin watan ne kuka fita daga Masar.","“You shall keep the feast of unleavened bread. Seven days you shall eat unleavened bread, as I commanded you, at the time appointed in the month Abib; for in the month Abib you came out of Egypt."
Sun aikata abin da ikonka da kuma nufinka ya riga ya shirya tuntuni zai faru.,to do whatever your hand and your counsel foreordained to happen.
"A shekara ta huɗu ta Hezekiya, wato, shekara ta bakwai ke nan ta mulkin Hosheya ɗan Ela sarkin Isra’ila; Shalmaneser Sarkin Assuriya ya tasam ma Samariya da yaƙi; ya kewaye ta.","In the fourth year of King Hezekiah, which was the seventh year of Hoshea son of Elah king of Israel, Shalmaneser king of Assyria came up against Samaria and besieged it."
Mutanen Yamma suna mamakin abin da ya faru da shi; tsoro ya kama mutanen gabas.,"Those who come after will be astonished at his day, as those who went before were frightened."
Dangin Merari su ne. Mali da Mushi. Ga kabilan Lawiyawa bisa ga iyalansu.,The sons of Merari by their families: Mahli and Mushi. These are the families of the Levites according to their fathers’ houses.
"Elam na biyar, Yehohanan na shida da Eliyehoyenai na bakwai.","Elam the fifth, Jehohanan the sixth, and Eliehoenai the seventh."
"Allah ya tashe wannan Yesu zuwa rai, mu kuwa duk shaidu ne ga wannan.","This Jesus God raised up, to which we all are witnesses."
“Za ku rarraba wannan ƙasa a tsakaninku bisa ga kabilan Isra’ila.,“So you shall divide this land to yourselves according to the tribes of Israel.
"Ya ce, “Je ka ka faɗa wa wannan mutane, “ ‘Kome yawan kasa kunne da za ku yi, ba za ku fahimta ba; Kome yawan dubar da za ku yi, ba za ku san abin da yake faruwa ba.’","He said, “Go, and tell this people, ‘You hear indeed, but don’t understand. You see indeed, but don’t perceive.’"
"“Ka shafe Haruna da ’ya’yansa maza, ka kuma tsarkake su don su yi mini hidima a matsayin firistoci.","You shall anoint Aaron and his sons, and sanctify them, that they may minister to me in the priest’s office."
"Absalom ya ce wa Ahitofel, “Ba mu shawararka. Me za mu yi?”","Then Absalom said to Ahithophel, “Give your counsel what we shall do.”"
"“Yanzu ga shi na zo don in faɗa wannan wa ranka yă daɗe sarki, don mutane sun tsorata ni. Baiwarka ta yi tunani ta ce, ‘Zan yi magana wa sarki; wataƙila yă yi abin da baiwarsa ta roƙa.","Now therefore, seeing that I have come to speak this word to my lord the king, it is because the people have made me afraid. Your servant said, ‘I will now speak to the king; it may be that the king will perform the request of his servant.’"
"Kai kaɗai na yi wa zunubi na yi abin da yake mugu a idonka, ta haka an tabbatar kai mai gaskiya sa’ad da ka yi magana aka kuma nuna kai mai adalci ne sa’ad da ka hukunta.","Against you, and you only, I have sinned, and done that which is evil in your sight, so you may be proved right when you speak, and justified when you judge."
"“Ɗan mutum, faɗa wa gidan Isra’ila, ‘Ga abin da kuke cewa, “Laifofinmu da zunubanmu suna nawaita mana, muna kuma lalacewa saboda su. Ta ƙaƙa za mu rayu?” ’","“You, son of man, tell the house of Israel: ‘You say this, “Our transgressions and our sins are on us, and we pine away in them. How then can we live?”’"
"Yehoshafat ya zauna a Urushalima, ya kuma fita yana shiga cikin mutane daga Beyersheba zuwa ƙasar tudun Efraim ya kuma juyar da su ga Ubangiji Allah na kakanninsu.","Jehoshaphat lived at Jerusalem; and he went out again among the people from Beersheba to the hill country of Ephraim, and brought them back to Yahweh, the God of their fathers."
Amma godiya ga Allah! Shi ne ya ba mu nasara ta wurin Ubangijinmu Yesu Kiristi.,"But thanks be to God, who gives us the victory through our Lord Jesus Christ."
"labulen filin, sandunansa da rammukansa, labulen ƙofar shiga filin; igiyoyi da ƙarafan kafa filin; dukan kayan aikin tabanakul da Tentin Sujada;","the hangings of the court, its pillars, its sockets, the screen for the gate of the court, its cords, its pins, and all the instruments of the service of the tabernacle, for the Tent of Meeting,"
"Filistiyawa suka tunƙuro mayaƙansu domin su sadu da Isra’ilawa, yaƙi kuwa ya yi tsanani har Isra’ilawa suka sha kashi a hannun Filistiyawa. Filistiyawa suka kashe Isra’ilawa kusan mutum dubu huɗu a bakin dāgā.","The Philistines put themselves in array against Israel. When they joined battle, Israel was defeated by the Philistines, who killed about four thousand men of the army in the field."
Aka yi yaƙi tsakanin Rehobowam da Yerobowam a duk kwanakin Abiya.,Now there was war between Rehoboam and Jeroboam all the days of his life.
"Bayan ta sa shi ya yi barci a cinyarta, sai ta kira wani ya zo ya aske kitso guda bakwai nan a kansa, aka fara rinjayensa. Ƙarfinsa kuwa ya rabu da shi.","She made him sleep on her knees; and she called for a man and shaved off the seven locks of his head; and she began to afflict him, and his strength went from him."
"“Mutumin da yake shugaba a ƙasar ya yi mana matsananciyar magana, ya kuma ɗauke mu tamƙar ’yan leƙen asirin ƙasa.","“The man, the lord of the land, spoke roughly with us, and took us for spies of the country."
"Na yi fushi saboda kwaɗayin zunubinsa; na yi masa horo, na kuma ɓoye fuskata saboda fushi, duk da haka ya ci gaba da ayyukan zunubinsa.",I was angry because of the iniquity of his covetousness and struck him. I hid myself and was angry; and he went on backsliding in the way of his heart.
Ku riƙe su da mutunci sosai cikin ƙauna saboda aikinsu. Ku yi zaman lafiya da juna.,and to respect and honor them in love for their work’s sake. Be at peace among yourselves.
Ko za a gaya masa cewa ina so in yi magana? Ko wani zai nemi a haɗiye shi?,Will it be told him that I would speak? Or should a man wish that he were swallowed up?
"Musa ya aike su zuwa yaƙi, dubu ɗaya daga kowace kabila, tare da Finehas ɗan Eleyazar, firist, wanda ya ɗauki kayayyaki daga wuri mai tsarki da ƙahoni don kiran yaƙi.","Moses sent them, one thousand of every tribe, to the war with Phinehas the son of Eleazar the priest, to the war, with the vessels of the sanctuary and the trumpets for the alarm in his hand."
"Sai ya gaya musu wannan misali ya ce, “Ku dubi itacen ɓaure da dukan itatuwa.",He told them a parable. “See the fig tree and all the trees.
"Kada ka ce wa maƙwabcinka “Ka yă dakata sai gobe,” idan kana iya taimakonsa yanzu.","Don’t say to your neighbor, “Go, and come again; tomorrow I will give it to you,” when you have it by you."
"Ba ta wurin doka ce Ibrahim da zuriyarsa suka sami alkawarin cewa zai zama magājin duniya ba, amma sai dai ta wurin adalcin da yake zuwa ta wurin bangaskiya.","For the promise to Abraham and to his offspring that he would be heir of the world wasn’t through the law, but through the righteousness of faith."
"Ya amsa mini ya ce, “Zunubin gidan Isra’ila da Yahuda ya yi girma ainun; ƙasar ta cika da rashin adalci. Suna cewa, ‘Ubangiji ya yashe ƙasar; Ubangiji ba ya gani.’","Then he said to me, “The iniquity of the house of Israel and Judah is exceedingly great, and the land is full of blood, and the city full of perversion; for they say, ‘Yahweh has forsaken the land, and Yahweh doesn’t see.’"
"Da aljanun suka fita daga cikin mutumin, sai suka shiga cikin aladun. Garken kuma ya gangara daga kan tudun zuwa cikin tafkin, kuma suka nutse.","The demons came out of the man and entered into the pigs, and the herd rushed down the steep bank into the lake and were drowned."
"Macen ta ce, “Na san cewa Almasihu” (da ake ce da shi Kiristi) “yana zuwa. Sa’ad da ya zo kuwa, zai bayyana mana kome.”","The woman said to him, “I know that Messiah is coming, he who is called Christ. When he has come, he will declare to us all things.”"
"Sau uku a shekara, dukan mazanku za su bayyana a gaban Ubangiji Mai Iko Duka, Allah na Isra’ila.","Three times in the year all your males shall appear before the Lord Yahweh, the God of Israel."
"duk da haka ina roƙonka saboda ƙauna, na fi so in roƙe ka, ni Bulus tsoho, a yanzu kuma ga ni ɗan sarƙa saboda Kiristi Yesu.","yet for love’s sake I rather appeal to you, being such a one as Paul, the aged, but also a prisoner of Jesus Christ."
"Sai ya ce, “Ku kawo mini sabuwar ƙwarya, ku kuma sa gishiri a ciki.” Sai suka kawo masa.","He said, “Bring me a new jar, and put salt in it.” Then they brought it to him."
"’Yar’uwarsa Makir mai suna Hammoleket ta haifi Ishod, Abiyezer da Mala.","His sister Hammolecheth bore Ishhod, Abiezer, and Mahlah."
"Matasa maza waɗanda ba su da wata naƙasa kuma kyawawa, hazikai ta kowace hanyar koyo, sanannu, masu saurin fahimtar abu, da kuma waɗanda suka cancanci su yi aiki a fadar sarki. Zai koya musu harshen Babiloniyawa da kuma littattafansu.","youths in whom was no defect, but well-favored, skillful in all wisdom, endowed with knowledge, understanding science, and who had the ability to stand in the king’s palace; and that he should teach them the learning and the language of the Chaldeans."
amma ba su iya cin nasara kan hikimarsa ko kuma a kan Ruhu wanda ta wurinsa ne ya magana ba.,They weren’t able to withstand the wisdom and the Spirit by which he spoke.
"Ya tafi Nazaret, inda aka yi renonsa. A ranar Asabbaci kuma, ya shiga majami’a kamar yadda ya saba. Sai ya miƙe don yă yi karatu.","He came to Nazareth, where he had been brought up. He entered, as was his custom, into the synagogue on the Sabbath day, and stood up to read."
Absalom ya zauna a Urushalima shekara biyu amma ba tare da ganin fuskar sarki ba.,"Absalom lived two full years in Jerusalem, and he didn’t see the king’s face."
"Ku shuka wa kanku adalci, ku girbe ’ya’yan jinƙai marar ƙarewa, ku kuma nome ƙasar da ba a nome ba; gama lokaci ne na neman Ubangiji, sai ya zo ya zubo adalci a kanku.","Sow to yourselves in righteousness, reap according to kindness. Break up your fallow ground, for it is time to seek Yahweh, until he comes and rains righteousness on you."
"In kuwa Ruhu wannan da ya tā da Yesu daga matattu yana zama a cikinku, shi wanda ya tā da Kiristi daga matattu zai ba da rai ga jikunanku masu mutuwa ta wurin Ruhunsa, wanda yake zama a cikinku.","But if the Spirit of him who raised up Jesus from the dead dwells in you, he who raised up Christ Jesus from the dead will also give life to your mortal bodies through his Spirit who dwells in you."
"Da jin haka, sai wani da yake tare da shi a tebur ɗin, ya ce wa Yesu, “Mai albarka ne wanda zai ci abinci a bikin nan a mulkin Allah.”","When one of those who sat at the table with him heard these things, he said to him, “Blessed is he who will feast in God’s Kingdom!”"
"Yoshuwa kuwa ya ƙwace dukan ƙasar yadda Ubangiji ya umarci Musa, ya ba da ita ta zama ƙasar gādo ga Isra’ilawa, kabila-kabila. Ta haka ƙasar ta huta daga yaƙi.","So Joshua took the whole land, according to all that Yahweh spoke to Moses; and Joshua gave it for an inheritance to Israel according to their divisions by their tribes. Then the land had rest from war."
ta Adin 655,The children of Adin: six hundred fifty-five.
"Yahuda ya ci amana. An yi abin kunya a Isra’ila da kuma a Urushalima. Yahuda ya ƙazantar da wuri mai tsarkin da Ubangiji yake ƙauna, ta wurin auren ’yar wani baƙon allah.","Judah has dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah has profaned the holiness of Yahweh which he loves, and has married the daughter of a foreign god."
"Sai suka amsa suka ce, “Kai ma daga Galili ne? Bincika ka gani, za ka iske cewa ba annabin da zai fito daga Galili.”","They answered him, “Are you also from Galilee? Search and see that no prophet has arisen out of Galilee.”"
"Yesu ya tambaye shi, “Mene ne sunanka?” Sai ya amsa, “Tuli,” gama aljanu masu ɗumbun yawa ne suna cikinsa.","Jesus asked him, “What is your name?” He said, “Legion,” for many demons had entered into him."
"Na zo cikin duniya a kan ni haske ne, don duk wanda ya gaskata da ni, kada yă zauna a cikin duhu.","I have come as a light into the world, that whoever believes in me may not remain in the darkness."
"mutanen rabin kabilar Manasse, sanannu da sunaye suka zo suka mai da Dawuda sarki, su 18,000;","Of the half-tribe of Manasseh: eighteen thousand, who were mentioned by name, to come and make David king."
"“Gishiri yana da daɗi, amma in ya rabu da ɗanɗanonsa, ta yaya za a sāke mai da ɗanɗanonsa? Ku kasance da gishiri a cikinku, ku kuma yi zauna lafiya da juna.”","Salt is good, but if the salt has lost its saltiness, with what will you season it? Have salt in yourselves, and be at peace with one another.”"
"A cikin kome ya yi tafiya a hanyoyin mahaifinsa Asa, bai kuma kauce daga gare su ba; ya yi abin da yake daidai a gaban Ubangiji. Amma bai rurrushe masujadai da suke kan tuddai ba, mutane kuwa suka ci gaba da miƙa hadayu suna kuma ƙone turare a can.","He walked in all the way of Asa his father. He didn’t turn away from it, doing that which was right in Yahweh’s eyes. However, the high places were not taken away. The people still sacrificed and burned incense on the high places."
"Shi ya sa da yawa a cikinku ba su da ƙarfi, suna kuma da rashin lafiya, waɗansunku kuma sun riga sun yi barci.","For this cause many among you are weak and sickly, and not a few sleep."
Dole kowa yă bincike kansa kafin yă ci burodin yă kuma sha daga kwaf ɗin.,"But let a man examine himself, and so let him eat of the bread and drink of the cup."
"“Amma su kakanninmu, suka yi fariya da taurinkai, ba su kuwa yi biyayya ga umarnanka ba.","“But they and our fathers behaved proudly, hardened their neck, didn’t listen to your commandments,"
Zan rera ga Ubangiji dukan raina; zan rera yabo ga Allahna muddin ina raye.,I will sing to Yahweh as long as I live. I will sing praise to my God while I have any being.
"Sarki ya yi shelar umarnin Ubangiji. Ubangiji ya ce mini, “Kai Ɗana ne; yau na zama Mahaifinka.","I will tell of the decree: Yahweh said to me, “You are my son. Today I have become your father."
"Sai annabin ya amsa, “Ni ma annabi ne, kamar ka. Kuma mala’ika ya ce mini ta wurin kalmar Ubangiji, ‘Dawo da shi zuwa gidanka saboda yă ci abinci, yă kuma sha ruwa.’ ” (Amma yana masa ƙarya ne.)","He said to him, “I also am a prophet as you are; and an angel spoke to me by Yahweh’s word, saying, ‘Bring him back with you into your house, that he may eat bread and drink water.’” He lied to him."
"Ya kuwa wulaƙanta mutanenmu sosai, ya kuma gwada wa kakanni-kakanninmu azaba ta wurin tilasta su su zubar da sababbin jariransu, don su mutu.","The same took advantage of our race and mistreated our fathers, and forced them to abandon their babies, so that they wouldn’t stay alive."
"Elkana, Isshiya, Azarel, Yoyezer da Yashobeyam daga Kora;","Elkanah, Isshiah, Azarel, Joezer, and Jashobeam, the Korahites;"
“Ka umarci Isra’ilawa su ba wa Lawiyawa garuruwan da za su zauna a ciki daga cikin gādon da Isra’ilawa za su mallaka. A kuma ba su wurin kiwo kewaye da garuruwan.,“Command the children of Israel to give to the Levites cities to dwell in out of their inheritance. You shall give pasture lands for the cities around them to the Levites.
"Amam, Shema, Molada,","Amam, Shema, Moladah,"
"Amma in zukatanku suka kangare, ba su kuwa yi biyayya ba, in kuma aka rinjaye ku don ku rusuna ga waɗansu alloli ku yi musu bauta,","But if your heart turns away, and you will not hear, but are drawn away and worship other gods, and serve them,"
Ban yi ƙyashin azurfa ko zinariya ko tufafin kowa ba.,"I coveted no one’s silver, gold, or clothing."
"Harshe yana da ikon rai da mutuwa, kuma waɗanda suke ƙaunarsa za su ci amfaninsa.",Death and life are in the power of the tongue; those who love it will eat its fruit.
"Bari su yabi sunan Ubangiji, gama sunansa ne kaɗai mafi ɗaukaka; darajarsa ta fi ƙarfin duniya da sammai.","Let them praise Yahweh’s name, for his name alone is exalted. His glory is above the earth and the heavens."
"Mala’ikan Ubangiji ya sāke dawowa sau na biyu ya taɓa shi, ya ce, “Tashi ka ci abinci, gama tafiyar za tă yi maka yawa.”","Yahweh’s angel came again the second time, and touched him, and said, “Arise and eat, because the journey is too great for you.”"
"Dukan ƙasar da kake gani zan ba ka, kai da zuriyarka har abada.",for I will give all the land which you see to you and to your offspring forever.
Ya aikata mugunta domin bai sa zuciyarsa ga neman Ubangiji ba.,"He did that which was evil, because he didn’t set his heart to seek Yahweh."
"Suka kuma haura ta Negeb, suka iso Hebron, inda Ahiman, da Sheshai, da Talmai, zuriyar Anak, suke zama. (An gina Hebron da shekara bakwai kafin a gina Zowan a Masar.)","They went up by the South, and came to Hebron; and Ahiman, Sheshai, and Talmai, the children of Anak, were there. (Now Hebron was built seven years before Zoan in Egypt.)"
"da kai ne na ragargaza doki da mahayi, da kai ne na ragargaza keken yaƙin da matuƙi,",With you I will break in pieces the horse and his rider.
"Ko da me hikima take, Abin ya yi mana zurfi ƙwarai, yana da wuyar ganewa, wa zai iya gane shi?","That which is, is far off and exceedingly deep. Who can find it out?"
"“Sauran mutum ɗaya da ya rage ya aika, ɗa, da yake ƙauna. Daga ƙarshe sai ya aike shi, yana cewa, ‘Za su girmama ɗana.’","Therefore still having one, his beloved son, he sent him last to them, saying, ‘They will respect my son.’"
"Musa ya ba wa Eleyazar abin da aka ware wa Ubangiji, kamar yadda Ubangiji ya umarci Musa.","Moses gave the tribute, which was Yahweh’s wave offering, to Eleazar the priest, as Yahweh commanded Moses."
"Sai waɗannan Lawiyawa suka shiga aiki, daga Kohatawa Mahat ɗan Amasai da Yowel ɗan Azariya. Daga Kabilar Merari, Kish ɗan Abdi da Azariya ɗan Yahallelel. Daga Gershonawa, Yowa ɗan Zimma da Eden ɗan Yowa.","Then the Levites arose: Mahath, the son of Amasai, and Joel the son of Azariah, of the sons of the Kohathites; and of the sons of Merari, Kish the son of Abdi, and Azariah the son of Jehallelel; and of the Gershonites, Joah the son of Zimmah, and Eden the son of Joah;"
Tsoron Allah ya kama dukan mulkokin ƙasashe sa’ad da suka ji yadda Ubangiji ya yi yaƙi a kan abokan gāban Isra’ila.,The fear of God was on all the kingdoms of the countries when they heard that Yahweh fought against the enemies of Israel.
"Gama Ubangiji ne ya taurare zukatansu waɗannan sarakuna suka yi yaƙi da Isra’ilawa don yă hallaka su gaba ɗaya, yă gamar da su ba jinƙai, yadda Ubangiji ya umarci Musa.","For it was of Yahweh to harden their hearts, to come against Israel in battle, that he might utterly destroy them, that they might have no favor, but that he might destroy them, as Yahweh commanded Moses."
"Shugabansu zai zama ɗaya daga cikinsu; mai mulkinsu zai taso daga cikinsu. Zan kawo shi kusa zai kuma zo kusa da ni, gama wane ne zai miƙa kansa don yă yi kusa da ni?’ In ji Ubangiji.","Their prince will be one of them, and their ruler will proceed from among them. I will cause him to draw near, and he will approach me; for who is he who has had boldness to approach me?” says Yahweh."
"Bari sammai su yi farin ciki, bari duniya tă yi murna; bari su ce a cikin al’ummai, “Ubangiji yana mulki!”","Let the heavens be glad, and let the earth rejoice! Let them say among the nations, “Yahweh reigns!”"
"Ubangiji kuwa ya ba Isra’ilawa dukan ƙasar da ya yi wa kakanninsu alkawari, suka kuwa mallake ta, suka zauna a cikinta.","So Yahweh gave to Israel all the land which he swore to give to their fathers. They possessed it, and lived in it."
"Hezekiya kuwa ya yi addu’a ga Ubangiji ya ce, “Ya Ubangiji, Allah na Isra’ila, wanda yake zaune tsakanin kerubobi, kai kaɗai ne Allah bisa dukan mulkokin duniya. Kai ka yi sama da duniya.","Hezekiah prayed before Yahweh, and said, “Yahweh, the God of Israel, enthroned above the cherubim, you are the God, even you alone, of all the kingdoms of the earth. You have made heaven and earth."
"suka tafi don su yaƙi Bera sarkin Sodom, Birsha sarkin Gomorra, Shinab sarkin Adma, Shemeber sarkin Zeboyim, da kuma sarkin Bela (wato, Zowar).","they made war with Bera, king of Sodom; Birsha, king of Gomorrah; Shinab, king of Admah; Shemeber, king of Zeboiim; and the king of Bela (also called Zoar)."
Ka mai da hankali ga umarni ka kuma kasa kunne ga kalmomin sani.,"Apply your heart to instruction, and your ears to the words of knowledge."
Ba ƙafar mutum ko ta dabbar da za tă ratsa ta; ba wanda zai zauna a can har shekaru arba’in.,"No foot of man will pass through it, nor will any animal foot pass through it. It won’t be inhabited for forty years."
"Ku gina birane domin matanku da ’ya’yanku, ku gina katanga kuma domin dabbobinku, amma fa ku cika abin da kuka yi alkawari.”","Build cities for your little ones, and folds for your sheep; and do that which has proceeded out of your mouth.”"
"Sa’an nan ta ba sarki talenti 120 na zinariya, kayan yaji masu yawa, da kuma duwatsu masu daraja. Ba a taɓa kasance da irin kayan yaji mai yawa kamar waɗanda sarauniyar Sheba ta ba wa sarki Solomon ba.","She gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones. There was never before such spice as the queen of Sheba gave to King Solomon."
"Amma da ba su same su ba, sai suka ja Yason da waɗansu ’yan’uwa zuwa gaban mahukuntan birnin, suna ihu suna cewa, “Waɗannan mutanen da suke tā da fitina ko’ina a duniya sun iso nan,","When they didn’t find them, they dragged Jason and certain brothers before the rulers of the city, crying, “These who have turned the world upside down have come here also,"
"Sa’ad da ya kai wani wuri, sai ya dakata domin yă kwana, gama rana ta riga ta fāɗi. Ya ɗauki dutse daga cikin duwatsun wurin, ya sa shi ya zama matashin kansa, sa’an nan ya kwanta don yă yi barci.","He came to a certain place, and stayed there all night, because the sun had set. He took one of the stones of the place, and put it under his head, and lay down in that place to sleep."
Kansa zinariya ce zalla; gashinsa dogaye ne baƙi wuluk kamar hankaka.,"His head is like the purest gold. His hair is bushy, black as a raven."
Abin da aka yi a yau umarni ne daga Ubangiji don yin kafara saboda ku.,"What has been done today, so Yahweh has commanded to do, to make atonement for you."
Zan sa inuwar da rana ta yi a kan matakalar Ahaz ta koma baya da taki goma.’ ” Saboda haka inuwar ta koma da baya daga fuskar rana har taki goma.,"Behold, I will cause the shadow on the sundial, which has gone down on the sundial of Ahaz with the sun, to return backward ten steps.”’” So the sun returned ten steps on the sundial on which it had gone down."
"Saboda haka mugaye ba za su iya tsayawa a shari’a ba, balle a sami masu zunubi a taron adalai.","Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous."
"Lokacin da ya yi iska ya sa ta hura, ya kuma auna ruwaye.","He establishes the force of the wind. Yes, he measures out the waters by measure."
"Bayan Mikahiya ya faɗa musu kome da ya ji Baruk ya karanta wa mutane daga littafin,","Then Micaiah declared to them all the words that he had heard, when Baruch read the book in the ears of the people."
"Za su kore ku daga majami’a; lalle, lokaci yana zuwa da duk wanda ya kashe ku, zai ɗauka yana yin wa Allah hidima ne.","They will put you out of the synagogues. Yes, the time is coming that whoever kills you will think that he offers service to God."
"“Sa’an nan ya ce, ‘Allah na kakanninmu ya zaɓe ka ka san nufinsa ka kuma ga Mai Adalcin nan ka kuma ji kalmomi daga bakinsa.","He said, ‘The God of our fathers has appointed you to know his will, and to see the Righteous One, and to hear a voice from his mouth."
"Na ɗauki ƙwarƙwarata na yayyanka gunduwa-gunduwa na aika da shi ga kowane yankin gādon Isra’ila, domin sun aikata mugu abu da abin kunya a Isra’ila.","I took my concubine and cut her in pieces, and sent her throughout all the country of the inheritance of Israel; for they have committed lewdness and folly in Israel."
Zan lalatar da duwatsu da tuddai in busar da dukan itatuwansu; zan mai da koguna su zama tsibirai in kuma busar da tafkuna.,"I will destroy mountains and hills, and dry up all their herbs. I will make the rivers islands, and will dry up the pools."
