hausa,english,confidence_score
mahalat,mahalath,0.8571
mattan,mattan,0.8571
arabiya,arabia,0.8571
inki,ink,0.8571
arfad,arpad,0.8571
ninebe,nineveh,0.8571
bereya,beroea,0.8571
galiliyawa,galileans,0.8571
mujiyar,pelican,0.8571
mulmul,sleek,0.8571
zakanya,lioness,0.8571
hawwot,havvoth,0.8571
hahirot,pihahiroth,0.8571
mara,marah,0.8571
ziffora,zipporah,0.8571
beril,chrysolite,0.8571
shuɗiyar,lace,0.8571
saƙaƙƙun,finely,0.8571
fotifar,potiphar,0.8571
munana,ugly,0.8571
asu,moth,0.8571
kafinta,carpenter,0.8571
haki,pant,0.8571
bel,bel,0.8571
wutsiyoyinsu,tails,0.8571
rekabawa,rechabites,0.8571
silowam,siloam,0.8571
amayar,vomited,0.8571
yokneyam,jokneam,0.8571
bamot,bamoth,0.8571
gerasenawa,gadarenes,0.8571
geshem,geshem,0.8571
bamidiyana,midianite,0.8571
makware,quails,0.8571
mashaidin,truthful,0.8571
gat,gath,0.8539
yezireyel,jezreel,0.8533
lawiyawa,levites,0.8529
zinariya,gold,0.8513
yehu,jehu,0.85
gideyon,gideon,0.8471
zakoki,lions,0.8462
amon,amon,0.8444
alluna,tablets,0.8444
adullam,adullam,0.8421
saifurus,cyprus,0.8421
naɗi,consecration,0.8421
tattabarai,pigeons,0.8421
arameyawa,syrians,0.8411
ashera,asherah,0.8406
murabba,square,0.8387
ɓarawo,thief,0.8372
arewa,north,0.8364
madara,milk,0.8352
firistoci,priests,0.8338
girgashiyawa,girgashite,0.8333
tema,tema,0.8333
yaban,javan,0.8333
darik,darics,0.8333
fumfuna,blight,0.8333
yoffa,joppa,0.8333
kaɗe,musician,0.8333
lo,lo,0.8333
tessalonika,thessalonica,0.8333
romawa,romans,0.8333
massa,massah,0.8333
mabuɗin,key,0.8333
yisti,unleavened,0.8319
yoram,joram,0.8302
duhu,darkness,0.8291
gehazi,gehazi,0.8276
diloli,jackals,0.8276
yahudawa,jews,0.8258
babiloniyawa,chaldeans,0.8244
abiyezer,abiezer,0.8235
kwaf,cup,0.8235
yaye,weaned,0.8235
wuta,fire,0.8217
misalai,parables,0.8205
tentin,meeting,0.819
gera,gera,0.8182
kacici,riddle,0.8182
malam,teacher,0.8172
yesu,jesus,0.8161
takobi,sword,0.8153
rabin,half,0.8152
munafukai,hypocrites,0.8108
amin,amen,0.8103
maɗaukaki,armies,0.8101
allah,god,0.8077
littafin,book,0.8063
ikan,angel,0.8012
dare,night,0.8007
dodo,dodo,0.8
ariyel,ariel,0.8
felet,pelet,0.8
otniyel,othniel,0.8
arkitawa,archite,0.8
eleyasa,eleasah,0.8
keniyawa,kenites,0.8
dor,dor,0.8
tauraron,star,0.8
kefas,cephas,0.8
mako,week,0.8
ɓarayi,thieves,0.8
amoriyawa,amorites,0.8
furfura,gray,0.8
kerub,cherub,0.8
lauje,sickle,0.8
ramummuka,holes,0.8
geshurawa,geshurites,0.8
yehohiyacin,jehoiachin,0.8
medes,medes,0.8
ƙoƙon,skull,0.8
turu,stocks,0.8
dabo,enchanters,0.8
mediya,media,0.8
ungulu,vulture,0.8
shamuwa,stork,0.8
ulun,fleece,0.8
wutsiya,tail,0.8
migdol,migdol,0.8
kuza,tin,0.8
shirayinta,arches,0.8
melkizedek,melchizedek,0.8
maƙerin,goldsmith,0.8
mil,stadia,0.8
sakatunta,bolts,0.8
talatin,thirty,0.7961
annabi,prophet,0.796
bakwai,seven,0.7938
raɓa,dew,0.7931
annabawa,prophets,0.7928
kamu,cubits,0.7905
zina,adultery,0.7901
aman,naaman,0.7895
binne,buried,0.7888
abada,forever,0.7888
mawaƙa,singers,0.7887
ashirin,twenty,0.7879
teman,teman,0.7857
karuwai,prostitutes,0.7857
uzza,uzza,0.7826
izhar,izhar,0.7826
tekowa,tekoa,0.7826
kwaɗi,frogs,0.7826
kaɗaice,isolate,0.7826
rumman,pomegranates,0.7805
garaya,harp,0.7797
mazinata,adulterers,0.7778
gyangyaɗi,slumber,0.7778
istifanus,stephen,0.7778
saffaya,sapphire,0.7778
dinari,denarius,0.7778
wawa,fool,0.7763
jarumin,centurion,0.7755
shekel,shekels,0.7742
sashensa,division,0.7742
girgizar,earthquake,0.7742
raguna,lambs,0.7719
kekunan,chariots,0.7708
ƙarfe,iron,0.7701
arba,forty,0.7698
ala,baalah,0.7692
hiwiyawa,hivite,0.7692
shelomit,shelomith,0.7692
ikkilisiyoyi,assemblies,0.7692
samariyawa,samaritans,0.7692
gibeyonawa,gibeonites,0.7692
kofatan,hoofs,0.7692
tarshish,tarshish,0.766
gaggafa,eagle,0.766
gabas,east,0.7647
jiragen,ships,0.7647
sarauniya,queen,0.764
ben,ben,0.7632
hiram,hiram,0.7619
ɗumi,warm,0.7619
dakalai,bases,0.7619
gafarar,remission,0.7619
annoba,pestilence,0.7586
elisha,elisha,0.7586
da,the,0.7585
gicciye,crucified,0.7579
teku,sea,0.7555
jakuna,donkeys,0.7523
zarto,saws,0.75
buz,buz,0.75
ishbi,ishvi,0.75
mehola,meholah,0.75
magina,builders,0.75
tsaki,hiss,0.75
maƙeri,blacksmith,0.75
tsamiya,tamarisk,0.75
cokali,fork,0.75
fekahiya,pekahiah,0.75
beyerot,beeroth,0.75
funisiya,phoenicia,0.75
majami,synagogue,0.75
italiya,italy,0.75
iyo,swim,0.75
algaita,zither,0.75
ƙudan,bees,0.75
auratayya,marriages,0.75
filistiya,philistia,0.75
gunaguninku,murmurings,0.75
fiƙe,tenons,0.75
turkuwoyis,turquoise,0.75
huluna,headbands,0.75
tsatsarta,rust,0.75
jijiyoyi,sinews,0.75
tel,tel,0.75
ƙunshe,inkhorn,0.75
maharbi,archer,0.75
bukkoki,shelters,0.75
hosiya,hosea,0.75
arab,arabian,0.75
bakene,kenite,0.75
kunama,akrabbim,0.75
turken,peg,0.75
melek,ebedmelech,0.75
maniyyi,emission,0.75
aladun,pigs,0.75
guragu,lame,0.7451
rama,ramah,0.7447
lawi,levi,0.7442
doki,horse,0.7436
haƙa,dug,0.7429
marayu,fatherless,0.7429
faranti,platter,0.7429
rut,ruth,0.7429
kohat,kohath,0.7407
mika,micah,0.7407
harsuna,languages,0.7407
timna,timnah,0.7407
hamada,wilderness,0.739
ul,cedar,0.7385
garayu,harps,0.7368
mazinaciya,adulteress,0.7368
ƙaho,trumpet,0.736
aunin,shekel,0.7353
gwauraye,widows,0.7347
hadaya,offering,0.7342
madawwamiya,endures,0.7327
tsirara,naked,0.7317
salama,peace,0.7313
kabarin,tomb,0.729
ummai,nations,0.7289
mashayi,drunkard,0.7273
soko,socoh,0.7273
jiya,yesterday,0.7273
sila,silas,0.7273
shinar,shinar,0.7273
sokewa,persians,0.7273
alade,pig,0.7273
kwami,trough,0.7273
yahaz,jahaz,0.7273
kinneret,chinnereth,0.7273
masunta,fishermen,0.7273
adin,adin,0.7273
ƙwanƙwasa,knocks,0.7273
lahani,defect,0.726
raƙuma,camels,0.725
kabari,sheol,0.7234
ferizziyawa,perizzite,0.7222
aljani,demon,0.7222
bangaskiya,faith,0.7212
gershonawa,gershonites,0.72
toka,ashes,0.72
kwarin,valley,0.7185
gyaren,repairs,0.7179
bijimai,bulls,0.7156
shimeya,shimea,0.7143
yunwa,famine,0.7143
ƙusoshi,nails,0.7143
etam,etam,0.7143
neko,necoh,0.7143
tsutsotsi,worms,0.7143
ƙauyen,village,0.7143
bijimi,bull,0.7126
iku,angels,0.7114
sarki,king,0.7108
kora,korah,0.7103
taga,window,0.7097
kare,dog,0.7097
taurari,stars,0.7091
turare,incense,0.709
uku,three,0.7059
rafa,giant,0.7059
yashi,sand,0.7059
agag,agag,0.7059
buhunsa,sack,0.7059
n,eunuch,0.7059
lamunin,collateral,0.7059
amarya,bride,0.7059
rami,pit,0.7042
tsuntsu,bird,0.7042
abokan,enemies,0.704
kerubobi,cherubim,0.7021
hitti,hittite,0.7018
yebusiyawa,jebusite,0.7018
rera,sing,0.7013
asabbatai,moons,0.7
yehonadab,jonadab,0.7
madawwami,eternal,0.6984
kogin,river,0.696
keɓewarsa,separation,0.6957
karɓar,tax,0.6957
dukan,all,0.6955
sayar,sold,0.6939
ibraniyawa,hebrews,0.6923
bagade,altar,0.6901
tuna,remember,0.6898
gershon,gershon,0.6897
kudu,south,0.6888
aram,syria,0.6879
tashin,resurrection,0.6875
abel,abel,0.6875
hamsin,fifty,0.687
alloli,gods,0.6866
wanka,bathe,0.6866
almajiransa,disciples,0.686
farilla,statute,0.6857
tsarki,holy,0.6855
inabi,wine,0.6848
yehiyel,jehiel,0.6842
baftisma,baptized,0.6818
gwamna,governor,0.6818
yehoram,jehoram,0.6818
aniyawa,canaanites,0.6804
me,why,0.6801
zoban,rings,0.6786
abadin,ever,0.6783
shirayin,porch,0.6769
sassafe,early,0.6769
hayaƙi,smoke,0.6744
yamma,evening,0.6735
tarihin,chronicles,0.6733
yau,today,0.6732
kitsen,fat,0.6718
ce,said,0.6717
san,know,0.6711
mijinta,husband,0.6705
biyar,five,0.6703
sabon,new,0.6692
duniya,earth,0.6678
kogon,cave,0.6667
refahiyawa,rephaim,0.6667
kwaruruka,valleys,0.6667
naharayim,mesopotamia,0.6667
kittim,kittim,0.6667
kubensa,sheath,0.6667
amalekawa,amalekites,0.6667
fileser,tilgath,0.6667
macizai,serpents,0.6667
sarewa,pipe,0.6667
dalaye,overlaid,0.6667
kakanninsa,slept,0.6667
molek,molech,0.6667
maruƙa,calves,0.6667
jakina,saddle,0.6667
ɓaure,fig,0.6667
rarrafe,creeping,0.6667
fiffiken,wing,0.6667
hantsuka,snuffers,0.6667
gwaje,trials,0.6667
nassi,scripture,0.6667
majajjawa,sling,0.6667
naushin,chasing,0.6667
horesh,woods,0.6667
hulɗa,dealings,0.6667
marurai,tumors,0.6667
malami,preacher,0.6667
garura,crimson,0.6667
makoni,weeks,0.6667
ƙanshi,aroma,0.6667
kumburi,swelling,0.6667
jingine,leaning,0.6667
littattafai,books,0.6667
ɗarikar,sect,0.6667
almajirin,disciple,0.6667
kyarketai,wolves,0.6667
bafarisiyen,pharisee,0.6667
zazzaɓin,fever,0.6667
takardar,divorce,0.6667
tofa,spit,0.6667
kwaɓan,kneading,0.6667
ƙaiƙayin,itch,0.6667
ƙudaje,flies,0.6667
yayyafi,showers,0.6667
dafin,venom,0.6667
kumbura,swell,0.6667
yanyawa,foxes,0.6667
ɗinta,lodges,0.6667
minarka,mina,0.6667
ebed,ebed,0.6667
rumbu,barn,0.6667
ciyayin,weeds,0.6667
mujiyoyi,ostriches,0.6667
heres,heres,0.6667
matsattsiyar,narrow,0.6667
tukwane,potter,0.6667
hananel,hananel,0.6667
canjin,changers,0.6667
moɗa,log,0.6667
ginen,buildings,0.6667
shanyayyen,paralytic,0.6667
kaki,wax,0.6667
rubuce,written,0.6651
sarakunan,kings,0.6612
alamu,signs,0.6609
kabilar,tribe,0.6608
wanke,wash,0.6596
budurwa,virgin,0.6575
tsuntsayen,birds,0.6571
sammai,heavens,0.657
banƙyama,abominations,0.6569
fatar,skin,0.6567
itatuwan,trees,0.656
ciyawa,grass,0.6555
biyu,two,0.6545
iska,wind,0.6543
sanyi,cold,0.6512
guguwa,whirlwind,0.6512
tsibirai,islands,0.6512
mahayan,horsemen,0.6506
ɗan,son,0.6502
lambun,garden,0.6494
dattawan,elders,0.6488
kohatawa,kohathites,0.6486
ƙishirwa,thirsty,0.6471
midiyawa,midian,0.6452
zaitun,olive,0.6441
shida,six,0.644
makiyayi,shepherd,0.6437
ruri,roar,0.6429
kamunkai,sober,0.6429
tarko,snare,0.6429
hayan,farmers,0.6429
ƙasar,land,0.6423
o,prayers,0.6415
wasiƙu,letters,0.64
kwandon,basket,0.64
assuriyawa,assyrians,0.64
tsoma,dip,0.64
yaji,spices,0.6389
yatsarsa,finger,0.6383
takuba,swords,0.6383
ruhu,spirit,0.6367
oak,oak,0.6364
karin,proverb,0.6364
lu,pearls,0.6364
wawaye,fools,0.6353
dubu,thousand,0.634
hellenawa,greeks,0.6316
goshinsa,forehead,0.6316
keɓewar,dedication,0.6316
almon,almond,0.6316
tsaiko,settings,0.6316
tuya,baker,0.6316
mugaye,wicked,0.6314
gaskata,believe,0.631
girgije,cloud,0.6309
makafi,blind,0.6306
tsakanin,between,0.6302
sunayen,names,0.6301
barewa,deer,0.6286
tagogi,windows,0.6286
baftismar,baptism,0.6286
leƙen,spies,0.6286
gizagizai,clouds,0.6275
alama,sign,0.6267
maza,sons,0.6266
ni,me,0.6261
ayin,ain,0.625
jeri,row,0.625
ganga,tambourine,0.625
ibada,devout,0.625
kursiyoyi,thrones,0.625
rina,dyed,0.625
gizo,rainbow,0.625
farauto,venison,0.625
cizon,gnashing,0.625
haurawa,ascents,0.625
huɗu,four,0.6246
hikima,wise,0.6238
yarinyar,lady,0.6234
gashin,hair,0.6232
dawakai,horses,0.6214
tamanin,eighty,0.6207
nassosi,scriptures,0.6207
awace,lusts,0.6207
gai,greet,0.6197
lamiri,conscience,0.619
madogarar,threshold,0.619
gonakin,vineyards,0.6186
umma,nation,0.6185
lallausan,fine,0.6178
ƙayayyuwa,thorns,0.6176
walƙiya,lightning,0.6173
ruhohi,spirits,0.6154
malamai,teachers,0.6154
kifin,fish,0.6154
shafewa,anointing,0.6154
lashe,licked,0.6154
ƙerarriyar,buds,0.6154
guduma,hammer,0.6154
ɗango,caterpillar,0.6154
raƙuman,waves,0.6154
yauwa,aha,0.6154
tsinken,speck,0.6154
birnin,city,0.6146
mafaka,refuge,0.6145
mu,we,0.6142
gonar,vineyard,0.6135
namun,animals,0.6126
irorin,wheels,0.6111
kaifi,sharp,0.6111
annabci,prophesy,0.6095
ƙwarƙwarai,concubines,0.6087
jarraba,temptation,0.6087
kurma,deaf,0.6087
yayyafa,sprinkle,0.6076
ƙofar,gate,0.6074
waƙa,song,0.6069
amma,but,0.6061
sittin,sixty,0.6061
leƙi,spy,0.6061
damina,winter,0.6061
tagomashi,favor,0.6061
gaɓoɓin,members,0.6047
sojan,commanding,0.6047
ulu,wool,0.6038
ƙura,dust,0.6036
wahayi,vision,0.6016
masaƙa,weaver,0.6
korayawa,korahites,0.6
gatura,axes,0.6
mashaya,drunkards,0.6
yumɓu,clay,0.6
ɓeraye,mice,0.6
matsakanci,mediator,0.6
wanki,fuller,0.6
faten,stew,0.6
kurciya,dove,0.6
roma,rome,0.6
banazare,nazareth,0.6
girka,greece,0.6
tekuna,seas,0.6
namansu,carcasses,0.6
damin,sheaf,0.6
cizo,lice,0.6
woroworo,bracelets,0.6
gyambuna,sores,0.6
maƙogwaronsu,throat,0.6
ƙyallayen,cloths,0.6
manajan,manager,0.6
barci,sleep,0.5988
saba,seventy,0.5981
bunsuru,goat,0.5965
balawe,levite,0.5957
ɗari,hundred,0.5955
ƙa,statutes,0.5952
budurwai,virgins,0.5946
ɗinsa,width,0.5938
shekara,year,0.5933
sansani,encamped,0.5926
maraƙi,calf,0.5926
efa,ephah,0.5915
hawaye,tears,0.5915
hanci,bribe,0.5909
raguwar,remnant,0.5891
ganima,plunder,0.5889
albarka,blessed,0.5885
maharba,archers,0.5882
molo,lyre,0.5882
manzo,apostle,0.5882
ama,naamah,0.5882
gaci,beach,0.5882
buguwa,drunkenness,0.5882
ƙugiyoyin,fillets,0.5882
dodon,monster,0.5882
tabarmarka,mat,0.5882
magatakarda,scribe,0.5867
shaidu,witnesses,0.5867
maganar,word,0.5858
ƙuri,lots,0.5854
koguna,rivers,0.5854
maciji,serpent,0.5846
karsana,heifer,0.5833
fure,blossom,0.5833
tuta,banner,0.5833
tsami,vinegar,0.5833
kwaɓaɓɓe,tenths,0.5833
haske,light,0.5826
waɗannan,these,0.5823
gina,built,0.5822
fitilu,lamps,0.5818
zalla,pure,0.5811
bakararriya,barren,0.5806
taurare,hardened,0.5797
farillanka,precepts,0.5797
sumba,kiss,0.5789
tumaki,sheep,0.5787
gwamnoni,governors,0.5778
daga,from,0.5775
jinƙai,mercy,0.5758
ɗakunan,rooms,0.5739
rago,ram,0.5729
zunubi,sin,0.5724
asshur,asshur,0.5714
matashin,footstool,0.5714
ara,arah,0.5714
buɗe,opened,0.5714
uwargijiyarta,mistress,0.5714
lardunan,provinces,0.5714
kurkuku,prison,0.5714
mafarki,dream,0.5714
dajiya,capital,0.5714
buhunanmu,sacks,0.5714
makamin,weapon,0.5714
sata,steal,0.5714
hancinsa,nostrils,0.5714
shanyayye,paralyzed,0.5714
mujiya,owl,0.5714
zoben,ring,0.5714
matuƙan,pilots,0.5714
aholaki,colt,0.5714
hatsi,grain,0.5702
mahaifiyarsa,mother,0.5681
fasikanci,sexual,0.5672
yawa,many,0.5666
kira,called,0.5661
la,curse,0.5654
horon,horon,0.5652
cinyar,thigh,0.5652
matalauta,poor,0.5649
safe,morning,0.5643
macijin,dragon,0.5641
ɗamara,belt,0.5625
gayyata,invited,0.5625
hasumiyar,tower,0.5625
numfashi,breath,0.5618
ƙauyukansu,villages,0.5607
garkuwoyi,shields,0.56
mulkokin,kingdoms,0.56
azumi,fast,0.56
kala,glean,0.56
misali,parable,0.56
tuddai,hills,0.5595
ƙahonin,horns,0.5591
godiya,thanks,0.5586
ruwa,water,0.5582
asabbataina,sabbaths,0.5581
ɗiga,discharge,0.5581
shekaru,years,0.5557
ladan,ladan,0.5556
makabarta,burial,0.5556
talauci,poverty,0.5556
manta,forget,0.5537
ƙanƙara,hail,0.5517
koya,teach,0.5512
jinin,blood,0.5507
reshen,branch,0.55
makiyaya,shepherds,0.5495
rawanin,crown,0.5474
tituna,streets,0.5474
tsarkaka,saints,0.5466
arziki,rich,0.5464
kauɗar,raisins,0.5455
yerimot,jerimoth,0.5455
lidiya,lud,0.5455
gaɓa,member,0.5455
sassauta,lighter,0.5455
rafin,brook,0.5455
garwashi,coals,0.5455
gatari,ax,0.5455
reza,razor,0.5455
taurinkai,stiff,0.5455
mag,heir,0.5455
tsibirin,island,0.5455
hoton,inscription,0.5455
gamsheƙa,viper,0.5455
liyafar,banquet,0.5455
takalminsa,sandal,0.5455
maɗauri,clasps,0.5455
mahaurai,mounds,0.5455
bansha,desirable,0.5455
murjani,rubies,0.5455
goshinsu,foreheads,0.5455
wuƙa,knife,0.5455
takalmansa,loosen,0.5455
farantan,censers,0.5455
idarsu,standards,0.5455
ananne,cursed,0.5437
wasiƙar,letter,0.5429
manzanni,apostles,0.5424
haɗiye,swallowed,0.5424
girbi,harvest,0.5424
kewaye,around,0.5417
kaburbura,tombs,0.5405
yar,sister,0.5389
tanderun,fiery,0.5385
ƙahonsa,sounded,0.5385
ƙirjin,waved,0.5385
tudu,hill,0.5379
watan,month,0.5375
mafarkin,interpretation,0.5373
mace,woman,0.5368
halittu,creatures,0.5352
ƙararraki,sounds,0.5333
hades,hades,0.5333
gicciyen,cross,0.5333
igiyoyi,ropes,0.5333
hular,helmet,0.5333
kushawa,ethiopians,0.5333
mashawarta,counselors,0.5333
jinkirin,slow,0.5333
tubula,brick,0.5333
haskoki,lights,0.5333
adar,adar,0.5333
musayar,exchange,0.5333
birgima,wallow,0.5333
sarƙaƙƙiya,briers,0.5333
madubi,glass,0.5333
ƙone,burned,0.5324
madawwamin,everlasting,0.5321
gafarta,forgive,0.5316
dutsen,mount,0.5315
yuferites,euphrates,0.5312
lot,lot,0.5303
keken,chariot,0.5303
gidan,house,0.53
bagadai,altars,0.5294
zane,cloth,0.5294
lardi,province,0.5294
wannan,this,0.5286
fi,than,0.5281
kibiyoyi,arrows,0.5263
mowabawa,moabites,0.5263
kishi,jealousy,0.5263
kifinsu,nets,0.5263
kibiritu,sulfur,0.5263
kayanki,traded,0.5263
tangaɗi,stagger,0.5263
katakan,boards,0.5246
ad,when,0.5237
za,will,0.5237
baƙo,foreigner,0.5235
abokin,enemy,0.5234
masussuka,threshing,0.5231
zan,i,0.5226
rawan,trembling,0.5217
kisankan,murderer,0.5217
ƙwato,recovered,0.5217
manomi,farmer,0.5217
rana,day,0.5216
tsoro,afraid,0.5216
ƙarƙashin,under,0.5208
ƙayyadaddun,feasts,0.52
busasshiyar,dry,0.5185
haɓaka,flourish,0.5185
fitila,lamp,0.5179
bari,let,0.5173
rurin,roaring,0.5161
kashegari,next,0.5152
shi,him,0.5144
koyi,learn,0.5128
kaɗawa,wave,0.5128
murfin,seat,0.5116
jirgin,boat,0.5116
zurfafan,depths,0.5116
ƙahoni,trumpets,0.5106
kwanon,ladle,0.5106
majalisa,council,0.5098
do,inheritance,0.5097
m,spear,0.5096
gode,thank,0.5091
mutum,man,0.5087
maɓulɓulan,springs,0.5085
jajjefe,stoned,0.5079
ɗaci,bitter,0.5079
ku,you,0.5079
bishara,news,0.5067
itacen,tree,0.5042
banza,vain,0.5025
burodi,bread,0.501
farko,first,0.5008
kaciya,uncircumcised,0.5
millo,millo,0.5
shanu,cattle,0.5
tace,refined,0.5
tsokane,provoke,0.5
mazansu,husbands,0.5
ƙyama,abomination,0.5
watsar,scatter,0.5
garwa,cors,0.5
sarƙoƙi,chains,0.5
gemu,beard,0.5
tulunan,containers,0.5
maitanci,wizards,0.5
warkewa,incurable,0.5
karan,measuring,0.5
kwatanta,compare,0.5
fashi,robbers,0.5
bokayen,enchantments,0.5
kush,ethiopia,0.5
amai,vomit,0.5
gaji,weary,0.5
mariri,gazelle,0.5
murɗe,strangled,0.5
adun,customs,0.5
ƙugiyoyi,hooks,0.5
gawasa,apple,0.5
tulunki,pitcher,0.5
rungumi,nipples,0.5
gittit,instrument,0.5
tattabaru,doves,0.5
kokawa,wrestled,0.5
bukukkuwan,convocations,0.5
tsutsa,worm,0.5
tafa,clap,0.5
nonon,cluster,0.5
banazaren,nazirite,0.5
masanan,lawyers,0.5
suka,they,0.4991
kada,don,0.4989
kabilan,tribes,0.4975
sama,heaven,0.4954
haskaka,shine,0.4944
haikali,temple,0.4929
cutar,plague,0.4925
tuntuɓe,stumble,0.4921
halicce,created,0.4918
rammuka,sockets,0.4918
warkar,heal,0.4903
bincike,examine,0.4894
awaki,goats,0.4882
tuba,repent,0.4878
gumaka,idols,0.487
garkuwa,shield,0.4865
ƙauyukanta,towns,0.4865
narke,melted,0.4865
ƙosar,satisfy,0.4865
alherin,grace,0.486
yehowash,jehoash,0.4848
jima,uncover,0.4839
mutu,die,0.4828
ƙungiyoyi,companies,0.4828
goma,ten,0.4828
jarirai,babies,0.4828
yistin,yeast,0.4828
tabo,spot,0.4828
amincinka,faithfulness,0.4828
takwas,eight,0.4821
iyalai,households,0.4819
muni,worse,0.4815
gunaguni,murmured,0.4815
adalci,righteousness,0.4814
saniya,ox,0.481
hasumiyoyi,towers,0.48
rataye,hanged,0.4789
amsa,answered,0.4784
duwatsu,mountains,0.4776
in,if,0.477
doka,law,0.4766
takalma,sandals,0.4762
cinikinki,wares,0.4762
furen,lilies,0.4762
dogara,trust,0.4755
ƙiyayya,hatred,0.4737
rani,summer,0.4737
karuwa,prostitute,0.4727
taƙama,boast,0.4727
rassa,branches,0.4719
matattu,dead,0.4713
fitina,contentious,0.4706
kagarata,fortress,0.4706
shagali,celebrate,0.4706
acibalbal,torches,0.4706
ƙyashin,covet,0.4706
zalin,robbery,0.4706
fyaɗa,dashed,0.4706
kimanta,dedicates,0.4706
kaiton,woe,0.4688
filayen,plains,0.4688
jaki,donkey,0.4685
juji,dung,0.4681
ko,or,0.4681
tebur,table,0.4677
kamar,like,0.4674
fuskokinsu,faces,0.4673
matarsa,wife,0.4671
rayu,live,0.4669
rufin,roof,0.4667
duhunta,darkened,0.4667
dabba,animal,0.4659
dubbai,thousands,0.4658
kusurwa,corner,0.4651
mutuwa,death,0.465
yaron,child,0.4648
yaɗuwa,leprosy,0.4643
waje,outside,0.4641
matsaran,gatekeepers,0.4638
sansanin,camp,0.4636
su,them,0.4634
cancanci,worthy,0.4628
iyalansu,families,0.4622
kasai,risked,0.4615
yebus,jebus,0.4615
alƙalamin,pen,0.4615
toya,baked,0.4615
nauyi,heavy,0.4615
katanga,fortified,0.4615
tafki,pool,0.4615
kwalabar,vial,0.4615
damuwarsu,distresses,0.4615
shafin,skirt,0.4615
aikaci,laborer,0.4615
cututtuka,diseases,0.4615
daɓen,pavement,0.4615
linzami,bridle,0.4615
ƙugiya,hook,0.4615
makanta,blindness,0.4615
kindirmo,butter,0.4615
igiyoyin,cords,0.4615
gaisuwa,greetings,0.4615
alƙalan,magistrates,0.4615
karambanin,dared,0.4615
kunnuwansa,stops,0.4615
taguwoyi,tunics,0.4615
magwajin,weights,0.4615
alkawura,covenants,0.4615
hazo,frost,0.4615
gurun,molding,0.4615
ɗinki,embroiderer,0.4615
ƙosai,wafer,0.4615
kyauro,papyrus,0.4615
jagoran,clubs,0.4615
malala,flows,0.4615
dammuna,sheaves,0.4615
rance,usury,0.4615
gulma,gossip,0.4615
hadayun,offerings,0.4611
kiyaye,keep,0.4611
ƙoshi,satisfied,0.46
jirgi,ship,0.4595
gaban,before,0.4591
ammon,ammonite,0.4571
dafa,boiled,0.4571
nilu,nile,0.4571
ada,adah,0.4571
girbe,reap,0.4561
shiru,silent,0.4557
rusuna,bowed,0.4556
sau,times,0.4548
rena,despised,0.4545
cetonmu,savior,0.4545
bokaye,magicians,0.4545
jiƙe,wet,0.4545
mallaki,possess,0.454
dabbar,beast,0.4536
ilawa,children,0.4535
katangar,wall,0.4534
abinci,food,0.453
saiwa,root,0.4528
tsakar,noon,0.4528
inuwar,shadow,0.4524
zumunci,fellowship,0.4516
bege,hope,0.4516
ɗakin,room,0.4516
ɗanɗana,tasted,0.4516
zakka,tithes,0.4516
filin,court,0.4514
umarnin,commandment,0.4514
maƙwabcinsa,neighbor,0.4512
aika,sent,0.4506
dutse,stone,0.4504
sumbace,kissed,0.45
kuringar,vine,0.45
laushi,flour,0.4494
gudu,fled,0.4489
rantse,swore,0.4486
ci,eat,0.4481
kiwonsu,pasture,0.4478
dama,right,0.4476
sunan,name,0.4474
kurmi,forest,0.4471
garuruwan,cities,0.4466
kullum,always,0.4459
gari,meal,0.4444
sirdi,saddled,0.4444
kyakkyawa,beautiful,0.4444
gwaji,trial,0.4444
askin,shearers,0.4444
tabbacin,assurance,0.4444
tsabtaccewarsa,cleansing,0.4444
hadari,storm,0.4444
kwalaba,hin,0.4444
addu,prayer,0.4434
kanka,yourself,0.4419
kulle,shut,0.4409
maƙarƙashiya,conspired,0.4407
kusurwoyi,corners,0.4407
tsawa,thunder,0.4407
jingina,pledge,0.44
ƙasashe,countries,0.4394
tunawa,memorial,0.439
tsananta,persecuted,0.4384
furanni,flowers,0.4375
kibiya,arrow,0.4375
kwartayenta,lovers,0.4375
mulkin,kingdom,0.4359
bakkunansu,bows,0.4348
bambanta,distinction,0.4348
hasara,loss,0.4348
adarta,period,0.4348
tsayinsa,height,0.4337
bauta,serve,0.4335
man,oil,0.4335
ƙarshe,last,0.4332
sana,craftsmen,0.4324
niƙa,millstone,0.4324
nawa,mine,0.4321
inda,where,0.4314
titi,street,0.4314
kanku,yourselves,0.4313
dasa,plant,0.4308
wofi,empty,0.4304
fanshe,redeem,0.4286
ƙidayan,census,0.4286
nunan,fruits,0.4286
banruwa,watered,0.4286
jahilci,ignorance,0.4286
sulke,mail,0.4286
sulɓi,smooth,0.4286
lokuta,seasons,0.4286
maƙaryata,liars,0.4286
uwaye,mothers,0.4286
tuƙaƙƙun,braided,0.4286
karatun,reading,0.4286
ragwaye,idle,0.4286
bambanci,partiality,0.4286
bayyanuwar,appearing,0.4286
nishi,groan,0.4286
aji,treasurers,0.4286
rufi,housetops,0.4286
ɓarzajjen,dough,0.4286
kwiyakwiyanta,cubs,0.4286
sayarwa,seller,0.4286
ri,locusts,0.4286
auni,balances,0.4286
wakilai,deputies,0.4286
shafen,plaster,0.4286
sussuka,thresh,0.4286
